No.     Time           Source                Destination           Protocol Length Info
    265 8.736281000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1973 Win=64847 Len=0
    266 8.736675000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    267 8.736727000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    268 8.736769000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1975 Win=64845 Len=0
    269 8.744232000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
    270 8.744346000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    271 8.744419000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1982 Win=64838 Len=0
    272 8.744808000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    273 8.757690000    192.168.0.1           192.168.0.2           TCP      65     [TCP segment of a reassembled PDU]
    274 8.757831000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1994 Win=64826 Len=0
    275 8.757885000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    276 8.757941000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    277 8.757997000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=1996 Win=64824 Len=0
    278 8.782906000    192.168.0.1           192.168.0.2           TCP      77     [TCP segment of a reassembled PDU]
    279 8.783376000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    280 8.783443000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2020 Win=64800 Len=0
    281 8.783480000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    282 8.790881000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
    283 8.791020000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2027 Win=64793 Len=0
    284 8.791431000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    285 8.791497000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    286 8.791546000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2029 Win=64791 Len=0
    287 8.803969000    192.168.0.1           192.168.0.2           TCP      65     [TCP segment of a reassembled PDU]
    288 8.804448000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    289 8.804547000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2041 Win=64779 Len=0
    290 8.804597000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    291 8.828650000    192.168.0.1           192.168.0.2           TCP      76     [TCP segment of a reassembled PDU]
    292 8.828891000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2064 Win=64756 Len=0
    293 8.829285000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    294 8.829330000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    295 8.829371000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2066 Win=64754 Len=0
    296 8.862764000    192.168.0.1           192.168.0.2           TCP      85     [TCP segment of a reassembled PDU]
    297 8.863251000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    298 8.863359000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2098 Win=64722 Len=0
    299 8.863403000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    300 8.902111000    192.168.0.1           192.168.0.2           TCP      90     [TCP segment of a reassembled PDU]
    301 8.902243000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2135 Win=64685 Len=0
    302 8.902639000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    303 8.902683000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    304 8.902722000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2137 Win=64683 Len=0
    305 8.929907000    192.168.0.1           192.168.0.2           TCP      79     [TCP segment of a reassembled PDU]
    306 8.930387000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    307 8.930436000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2163 Win=64657 Len=0
    308 8.930461000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    309 8.959815000    192.168.0.1           192.168.0.2           TCP      81     [TCP segment of a reassembled PDU]
    310 8.959894000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2191 Win=64629 Len=0
    311 8.960268000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    312 8.960310000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    313 8.960341000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2193 Win=64627 Len=0
    314 8.989871000    192.168.0.1           192.168.0.2           TCP      81     [TCP segment of a reassembled PDU]
    315 8.990300000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    316 8.990381000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2221 Win=64599 Len=0
    317 8.990414000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    318 9.021514000    192.168.0.1           192.168.0.2           TCP      81     [TCP segment of a reassembled PDU]
    319 9.021602000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2249 Win=64571 Len=0
    320 9.021989000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    321 9.022063000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    322 9.022108000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2251 Win=64569 Len=0
    323 9.046192000    192.168.0.1           192.168.0.2           TCP      76     [TCP segment of a reassembled PDU]
    324 9.046625000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    325 9.046706000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2274 Win=64546 Len=0
    326 9.046734000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    327 9.077030000    192.168.0.1           192.168.0.2           TCP      82     [TCP segment of a reassembled PDU]
    328 9.077117000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2303 Win=64517 Len=0
    329 9.077501000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    330 9.077547000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    331 9.077577000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2305 Win=64515 Len=0
    332 9.114231000    192.168.0.1           192.168.0.2           TCP      88     [TCP segment of a reassembled PDU]
    333 9.114710000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    334 9.114756000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2340 Win=64480 Len=0
    335 9.114781000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    336 9.153583000    192.168.0.1           192.168.0.2           TCP      90     [TCP segment of a reassembled PDU]
    337 9.153655000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2377 Win=64443 Len=0
    338 9.154018000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    339 9.154043000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    340 9.154063000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2379 Win=64441 Len=0
    341 9.194293000    192.168.0.1           192.168.0.2           TCP      91     [TCP segment of a reassembled PDU]
    342 9.194354000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    343 9.194390000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2417 Win=64403 Len=0
    344 9.194735000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    345 9.226295000    192.168.0.1           192.168.0.2           TCP      83     [TCP segment of a reassembled PDU]
    346 9.226371000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2447 Win=64373 Len=0
    347 9.226395000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    348 9.226705000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    349 9.226730000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2449 Win=64371 Len=0
    350 9.256228000    192.168.0.1           192.168.0.2           TCP      81     [TCP segment of a reassembled PDU]
    351 9.256287000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    352 9.256329000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2477 Win=64343 Len=0
    353 9.256651000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    354 9.310282000    192.168.0.1           192.168.0.2           TCP      104    [TCP segment of a reassembled PDU]
    355 9.310411000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2528 Win=64292 Len=0
    356 9.310454000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    357 9.310773000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    358 9.310818000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2530 Win=64290 Len=0
    359 9.372541000    192.168.0.1           192.168.0.2           TCP      112    [TCP segment of a reassembled PDU]
    360 9.372611000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    361 9.372655000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2589 Win=65520 Len=0
    362 9.373041000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    363 9.431953000    192.168.0.1           192.168.0.2           TCP      109    [TCP segment of a reassembled PDU]
    364 9.432042000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2645 Win=65464 Len=0
    365 9.432070000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    366 9.432372000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    367 9.432397000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2647 Win=65462 Len=0
    368 9.488818000    192.168.0.1           192.168.0.2           TCP      107    [TCP segment of a reassembled PDU]
    369 9.489295000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    370 9.489367000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2701 Win=65408 Len=0
    371 9.489404000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    372 9.515578000    192.168.0.1           192.168.0.2           TCP      78     [TCP segment of a reassembled PDU]
    373 9.515708000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2726 Win=65383 Len=0
    374 9.516102000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    375 9.516147000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    376 9.516190000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2728 Win=65381 Len=0
    377 9.523661000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
    378 9.523780000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    379 9.523853000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2735 Win=65374 Len=0
    380 9.524276000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    381 9.548143000    192.168.0.1           192.168.0.2           TCP      74     [TCP segment of a reassembled PDU]
    382 9.548267000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2756 Win=65353 Len=0
    383 9.548309000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    384 9.548346000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    385 9.548382000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2758 Win=65351 Len=0
    386 9.571543000    192.168.0.1           192.168.0.2           TCP      75     [TCP segment of a reassembled PDU]
    387 9.571659000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    388 9.571739000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2780 Win=65329 Len=0
    389 9.572148000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    390 9.601774000    192.168.0.1           192.168.0.2           TCP      81     [TCP segment of a reassembled PDU]
    391 9.601914000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2808 Win=65301 Len=0
    392 9.601966000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    393 9.602021000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    394 9.602076000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2810 Win=65299 Len=0
    395 9.635382000    192.168.0.1           192.168.0.2           TCP      85     [TCP segment of a reassembled PDU]
    396 9.635849000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    397 9.635915000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2842 Win=65267 Len=0
    398 9.635954000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    399 9.666343000    192.168.0.1           192.168.0.2           TCP      82     [TCP segment of a reassembled PDU]
    400 9.666469000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2871 Win=65238 Len=0
    401 9.666859000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    402 9.666901000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    403 9.666949000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2873 Win=65236 Len=0
    404 9.698657000    192.168.0.1           192.168.0.2           TCP      83     [TCP segment of a reassembled PDU]
    405 9.698785000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    406 9.698864000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2903 Win=65206 Len=0
    407 9.699287000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    408 9.725405000    192.168.0.1           192.168.0.2           TCP      78     [TCP segment of a reassembled PDU]
    409 9.725485000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2928 Win=65181 Len=0
    410 9.725510000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    411 9.725824000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    412 9.725855000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2930 Win=65179 Len=0
    413 9.748773000    192.168.0.1           192.168.0.2           TCP      75     [TCP segment of a reassembled PDU]
    414 9.749230000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    415 9.749268000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2952 Win=65157 Len=0
    416 9.749291000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    417 9.756641000    192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
    418 9.756719000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2959 Win=65150 Len=0
    419 9.757081000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    420 9.757106000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    421 9.757126000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2961 Win=65148 Len=0
    422 9.768062000    192.168.0.1           192.168.0.2           TCP      63     [TCP segment of a reassembled PDU]
    423 9.768120000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    424 9.768149000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2971 Win=65138 Len=0
    425 9.768486000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    426 9.777992000    192.168.0.1           192.168.0.2           TCP      62     [TCP segment of a reassembled PDU]
    427 9.778071000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2980 Win=65129 Len=0
    428 9.778092000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    429 9.778405000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    430 9.778432000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=2982 Win=65127 Len=0
    431 9.805502000    192.168.0.1           192.168.0.2           TCP      79     [TCP segment of a reassembled PDU]
    432 9.805996000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    433 9.806034000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3008 Win=65101 Len=0
    434 9.806053000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    435 9.893111000    192.168.0.1           192.168.0.2           TCP      136    [TCP segment of a reassembled PDU]
    436 9.893236000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3091 Win=65018 Len=0
    437 9.893629000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    438 9.893672000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    439 9.893710000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3093 Win=65016 Len=0
    440 9.979790000    192.168.0.1           192.168.0.2           TCP      135    [TCP segment of a reassembled PDU]
    441 9.979861000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    442 9.979905000    192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3175 Win=64934 Len=0
    443 9.980289000    192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    444 10.004594000   192.168.0.1           192.168.0.2           TCP      76     [TCP segment of a reassembled PDU]
    445 10.004679000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3198 Win=64911 Len=0
    446 10.004704000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    447 10.005093000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    448 10.005127000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3200 Win=64909 Len=0
    449 10.064774000   192.168.0.1           192.168.0.2           TCP      110    [TCP segment of a reassembled PDU]
    450 10.065181000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    451 10.065248000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3257 Win=64852 Len=0
    452 10.065274000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    453 10.164519000   192.168.0.1           192.168.0.2           TCP      146    [TCP segment of a reassembled PDU]
    454 10.164608000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3350 Win=64759 Len=0
    455 10.164639000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    456 10.165027000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    457 10.165092000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3352 Win=64757 Len=0
    458 10.217314000   192.168.0.1           192.168.0.2           TCP      103    [TCP segment of a reassembled PDU]
    459 10.217792000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    460 10.217832000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3402 Win=64707 Len=0
    461 10.217855000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    462 10.230624000   192.168.0.1           192.168.0.2           TCP      65     [TCP segment of a reassembled PDU]
    463 10.230714000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3414 Win=64695 Len=0
    464 10.231105000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    465 10.231158000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    466 10.231191000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3416 Win=64693 Len=0
    467 10.255293000   192.168.0.1           192.168.0.2           TCP      76     [TCP segment of a reassembled PDU]
    468 10.255709000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    469 10.255777000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3439 Win=64670 Len=0
    470 10.255802000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    471 10.288193000   192.168.0.1           192.168.0.2           TCP      84     [TCP segment of a reassembled PDU]
    472 10.288277000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3470 Win=64639 Len=0
    473 10.288651000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    474 10.288689000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    475 10.288719000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3472 Win=64637 Len=0
    476 10.321241000   192.168.0.1           192.168.0.2           TCP      84     [TCP segment of a reassembled PDU]
    477 10.321738000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    478 10.321782000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3503 Win=64606 Len=0
    479 10.321805000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    480 10.334398000   192.168.0.1           192.168.0.2           TCP      65     [TCP segment of a reassembled PDU]
    481 10.334491000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3515 Win=64594 Len=0
    482 10.334882000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    483 10.334935000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    484 10.334968000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3517 Win=64592 Len=0
    485 10.359057000   192.168.0.1           192.168.0.2           TCP      76     [TCP segment of a reassembled PDU]
    486 10.359547000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    487 10.359615000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3540 Win=64569 Len=0
    488 10.359640000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    489 10.400678000   192.168.0.1           192.168.0.2           TCP      92     [TCP segment of a reassembled PDU]
    490 10.400769000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3579 Win=64530 Len=0
    491 10.401198000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    492 10.401252000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    493 10.401285000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3581 Win=64528 Len=0
    494 10.413825000   192.168.0.1           192.168.0.2           TCP      65     [TCP segment of a reassembled PDU]
    495 10.413897000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    496 10.413941000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3593 Win=64516 Len=0
    497 10.414325000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    498 10.432520000   192.168.0.1           192.168.0.2           TCP      70     [TCP segment of a reassembled PDU]
    499 10.432607000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3610 Win=64499 Len=0
    500 10.432639000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    501 10.432673000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    502 10.432706000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3612 Win=64497 Len=0
    503 10.448479000   192.168.0.1           192.168.0.2           TCP      68     [TCP segment of a reassembled PDU]
    504 10.448907000   192.168.0.1           192.168.0.2           TCP      60     [TCP segment of a reassembled PDU]
    505 10.448988000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3627 Win=64482 Len=0
    506 10.449022000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    507 10.459015000   192.168.0.1           192.168.0.2           HTTP     60     Continuation or non-HTTP traffic
    508 10.459098000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [ACK] Seq=470 Ack=3629 Win=64481 Len=0
    509 10.459369000   192.168.0.2           192.168.0.1           TCP      54     49395 > http [FIN, ACK] Seq=470 Ack=3629 Win=64481 Len=0
    510 10.459484000   192.168.0.1           192.168.0.2           TCP      60     http > 49395 [ACK] Seq=3629 Ack=471 Win=2048 Len=0
